Names,Last,sex,Phone,Email,Date,Company,OrganizationNumber,Address,City,Country,Age,Paid,Misc,race,relationship
Lewis,Frost,Male,1-434-736-1844,orci.Ut.sagittis@aliquetmetus.edu,"Tue, Feb 12",Neque Corporation,93972090799,"P.O. Box 709, 9466 Ipsum Av.",Feltre,Sierra Leone,89,7447,sit,White,'Wife'
Scarlett,Bird,Female,1-938-966-9366,auctor.velit@Donecestmauris.net,"Fri, Jan 03",Diam Inc.,30810868799,Ap #103-5511 Bibendum Street,Nieuwkerken-Waas,Mayotte,58,1325,penatibus,White,'Not-in-family'
Morgan,Washington,Female,535-4823,Donec.nibh.enim@erateget.net,"Fri, Feb 08",Vestibulum Nec Euismod Company,57867446399,287-8651 Turpis Rd.,Casole d'Elsa,Gambia,44,6705,eu,White,'Not-in-family'
Tarik,Holden,Male,1-923-520-1843,quis@bibendumDonecfelis.co.uk,"Mon, Jan 06",Phasellus Consulting,2948384299,9951 Egestas. Street,Flin Flon,"Bonaire, Sint Eustatius and Saba",62,5880,ante,White,'Husband'
Walker,Mendez,Male,212-2562,sodales@amagna.co.uk,"Tue, Jul 23",Magna Lorem Ipsum Company,10330820499,"P.O. Box 129, 6649 Turpis. Avenue",Pietracatella,Bhutan,72,1087,felis.,White,'Husband'
George,Dale,Male,838-8868,non@Cras.co.uk,"Mon, Mar 09",Lacus Nulla Inc.,72942830899,"P.O. Box 112, 2013 Penatibus Rd.",Langenburg,Antigua and Barbuda,51,6015,Quisque,White,'Husband'
Charlotte,Forbes,Female,465-9293,blandit.viverra@quam.com,"Sat, Jun 27",Nulla Cras Eu Limited,23245637299,9245 Mauris St.,Angoulême,Eritrea,70,6247,ligula.,White,'Husband'
Anjolie,Best,Female,1-616-446-5215,dictum@famesac.com,"Fri, Dec 27",In PC,62557163099,Ap #836-8498 Lobortis St.,Paderborn,Indonesia,34,6001,risus,White,'Husband'
Paloma,Graves,Female,545-3263,sociis.natoque.penatibus@velquamdignissim.org,"Tue, Nov 06",Nunc Sed Corporation,55245875199,"122-8284 A, Street",Landeck,Slovenia,65,5384,varius,White,'Husband'
Fay,Obrien,Male,1-249-683-0279,penatibus.et.magnis@mollislectus.org,"Fri, May 29",Ipsum Consulting,27491558499,Ap #721-3976 Leo. Rd.,Armungia,Croatia,95,2290,lacus.,White,'Not-in-family'
